Trait,Task,Vignette
E,T,"You are leading an online tutoring session for a new group. Before starting, you can warm up with lighthearted introductions and icebreakers to energize the group, or skip directly to tasks for efficiency. Icebreakers might build comfort but waste time, while efficiency risks creating stiffness. Which approach do you take, balancing extroverted group bonding with the practical need for progress in this situation?"
E,C,"A customer asks a technical question. You can explain with lively analogies and cheerful tone, making the conversation more engaging, or give a concise, plain explanation. Friendly style may build connection, but brevity saves time. How do you decide?"
E,T,"During tutoring, a learner digresses to share a personal story only loosely related to the topic. You can respond warmly, joining in conversation, or redirect quickly to content. Friendly engagement could build rapport but might waste study time. How do you respond?"
A,C,"You are on a customer support call when a client angrily complains about a billing mistake. Their tone is harsh and accusatory. You must decide whether to respond with calm empathy, validating their frustration, or focus only on correcting details without warmth. Empathy may soothe them but consumes time; directness resolves facts but risks further irritation. How do you respond?"
A,M,"During counseling, a client complains that your suggestions have not helped and speaks irritably. You feel tempted to defend your method, yet you know acknowledging their feelings may preserve trust. Empathetic agreement might calm them, while self-defense risks conflict. How do you answer?"
A,C,"A customer misuses a product and blames your company, demanding an immediate replacement. Their frustration feels unfair, but they expect assistance. You could patiently guide them through proper use with courtesy, or bluntly highlight their mistake. Which tone do you adopt in this stressful moment?"
A,M,"During a therapy session, a client says they feel unheard and criticizes your listening. You feel slightly defensive but also recognize their perspective matters. You must decide whether to acknowledge their feelings with kindness or push back. How do you proceed?"
A,C,"In support chat, a customer repeats the same complaint multiple times despite your earlier explanations. Their persistence tests your patience. Do you continue replying politely and calmly, or allow irritation to show? Which style of response do you choose?"
A,M,"A counseling client rejects every suggestion angrily, interrupting often. You could persist firmly with recommendations or acknowledge their frustration with gentle empathy, aiming to preserve rapport. Choosing patience may maintain connection, but being too yielding risks lack of direction. How do you balance this situation?"
A,C,"On a service call, a customer makes sarcastic remarks about your company’s reputation. You could ignore the sarcasm and remain courteous, or match their tone with defensiveness. Remaining agreeable may diffuse tension, but bluntness could escalate conflict. How do you answer?"
A,M,"In therapy, a client suddenly voices harsh criticism of your approach, saying you have wasted their time. The comments sting, yet you must decide whether to react with defensive sharpness or accept the feedback calmly. How do you respond?"
N,T,"While supporting a client during tutoring, multiple questions come from different students at once. You begin feeling overwhelmed, fearing you may fail to address each concern properly. Anxiety rises as the students look at you expectantly. How do you manage your own unease while still responding productively to maintain their confidence in the lesson?"
N,C,"In customer support, a client keeps pressing for quicker answers while technical issues delay your response. You feel your stress building as mistakes appear in your typing. Nervousness grows about disappointing them further. How do you control your anxiety to complete the conversation effectively?"
N,M,"During a counseling session, a client shares a deeply personal story that you feel unprepared to address. A wave of nervousness hits you, and you worry about giving the wrong response. How do you proceed while managing your inner tension?"
N,C,"While handling a support chat, a customer raises their tone and repeats demands. You start worrying about losing composure as pressure rises. Anxiety increases, yet the customer expects resolution. How do you continue the conversation without letting stress overwhelm your professionalism?"
N,T,"During a tutoring session, time is running out, and several key concepts remain uncovered. You feel panic rising at the thought of leaving the student unprepared. How do you manage your own stress and complete the lesson effectively?"
N,C,"In a customer support role, your system repeatedly crashes during a client’s complaint. You worry the client’s patience is fading, and you feel tense about worsening the situation. How do you handle this stressful moment while remaining professional?"
N,M,"During counseling, a client suddenly shifts topics rapidly and unpredictably. You feel unsettled, worried about losing control of the discussion. Nervousness builds as you try to keep focus. How do you react to maintain stability and manage your emotions?"
N,T,"While tutoring a student who struggles with concepts, you sense your own frustration rising. You feel anxious about failing them as they look discouraged. How do you handle this internal tension while continuing to teach effectively in the moment?"
